SN Ref (see previous sheet)],Indirect_Driver,Direct_Driver,Nature,NCP,NCP Category,Trend,TrendCount,Quote
3,Institutions and Governance,Directly to NCP,Directly to NCP,WQN,Regulating,Positive,1,"In Dhankuta, the local municipality has already been facilitating conservation efforts in the upstream for sustainable supply of water. The local water management committee agreed to pay NPR 15 per month per water tap to upstream communities for the conservation of water source and for ensuring continuous water supply"
3,NA,Land Use Change,Freshwater,WQN,Regulating,Negative,0.33,"Upstream respondents have listed out a number of drivers responsible for water source degradation in their area (Fig. 2). Landslide and forest degradation are the major drivers, followed by agricultural practices and sand mining. Over the last five years, the use of chemical fertilizers has increased significantly, from 37 to 71%, posing a potential threat to water quality."
3,NA,Direct Exploitation,Freshwater,WQN,Regulating,Negative,0.33,"Upstream respondents have listed out a number of drivers responsible for water source degradation in their area (Fig. 2). Landslide and forest degradation are the major drivers, followed by agricultural practices and sand mining. Over the last five years, the use of chemical fertilizers has increased significantly, from 37 to 71%, posing a potential threat to water quality."
3,NA,Pollution,Freshwater,WQN,Regulating,Negative,0.33,"Upstream respondents have listed out a number of drivers responsible for water source degradation in their area (Fig. 2). Landslide and forest degradation are the major drivers, followed by agricultural practices and sand mining. Over the last five years, the use of chemical fertilizers has increased significantly, from 37 to 71%, posing a potential threat to water quality."
4,Institutions and Governance,Directly to NCP,Directly to NCP,WQN,Regulating,Negative,1,"Water availability declines when water storage infrastructure, built with low-grade materials or inadequately maintained, cannot withstand heavy rainfall. "
4,Institutions and Governance,Land Use Change,Freshwater,WQL,Regulating,Negative,0.5,"Water contamination also arises from excess fertilizer inputs, seasonal turbidity, and unregulated riverbed mining for building material."
4,NA,Pollution,Freshwater,WQL,Regulating,Negative,0.5,"Water contamination also arises from excess fertilizer inputs, seasonal turbidity, and unregulated riverbed mining for building material."
4,Economic and Technological,Land Use Change,Farmland,IDE,Non-Material,Negative,1,"Local cultivars are being replaced by hybrid varieties that tolerate saturated soil, have high market value, resistant to diseases etc. [due to market demands and better production]"
4,NA,Invasive Alien Species,Farmland,FOD,Material,Negative,1,"Across the study area, some 66% of farmers report increases in incidences and severity of pests and diseases found on farms in the last 10 years, while 29% report a decrease. Twenty-three types of pests have the most severe impacts on yield. More pest infestations are attributed to growing pesticide resistance, the use of chemical fertilizer and hybrid seeds, and less fallowing"
4,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"As is the case in many agricultural landscapes, almost all respondents (98%) consider timber overextraction to be a major driver of biodiversity change, resulting in species’ habitat loss."
