SN Ref,HAB,POL,AIR,CLI,WQN,WQL,SOI,HAZ,ORG,NRG,FOD,MAT,MED,INS,EXP,IDE,OPT
SN 1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
SN 2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SN 4,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
SN 5,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0
SN 6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
SN 7,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
SN 8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SN 9,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
SN 10,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
SN 11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SN 12,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0
SN 13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
SN 14,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 15,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
SN 16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
SN 17,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0
SN 18,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0
SN 19,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
SN 20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SN 21,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
SN 22,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0
SN 23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
