SN Ref,Ecosystem,NCP,NCP_short,SDG,Effect,Quote,Remarks from text,
SN 1,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,,Promotion of ecotourism,
SN 1,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,,Protection of villages from landslides,
SN 1,Forest,Energy,NRG,7.1,Positive,,Energy as subsistence livelihood,
SN 1,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,Timber primary for the construction of infrastructure,
SN 1,Forest,Food and feed,FOD,2.1,Positive,,Food source for subsistence livelihood,
SN 1,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,,,
SN 1,Farmland,Food and feed,FOD,2.1,Positive,,Food source for subsistence livelihood,
SN 2,Forest,Energy,NRG,7.1,Positive,"Results revealed that firewood contributed the highest financial benefits in both types of
CBFM. The results reflect a trend in developing countries where fuelwood
is the prime source of energy irrespective of household wellbeing.",Fuelwood as a primary source of energy,
SN 2,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Despite the higher priority and the financial contribution of timber to the national economy, this study found that timber contributed the second-highest financial benefits only for a small section of the subgroups",,
SN 4,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,,,
SN 4,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"The presence of these animals increases risk of crop raids, property damage, disease contraction, injury, or even death",Human wildlife conflict,
SN 4,Forest,Regulation of detrimental organisms and biological processes,ORG,3.3,Negative,,Human wildlife conflict,
SN 5,Forest,Regulation of air quality,AIR,3.9,Positive,reduction in use of firewood (and therefore protection of forests) led to health benefits,,
SN 5,Farmland,Supporting identities,IDE,NA,Positive,"The farmers said in the last rainy season the crops vanished
from many communities as development agencies introduced modern
varieties for early harvest. One of the farmers said that his desire to
eat cucumber pickle in Dashain festival at present was limited to his
dreams and memories",Traditional crops are part of major festivals.,
SN 5,Farmland,Supporting identities,IDE,NA,Positive,The respondents from the Ghale ethnic group replied they were supposed to eat only sheep meat for cultural reasons but increasing scarcity of sheep made it difficult for them to practice their culture.,"Livestock meat as part of cultural diet, which is getting lost due to change in livestock practices",
SN 5,Farmland,Supporting identities,IDE,NA,Positive,"Elderly people from Hindu communities said that the declining population of cows made it
difficult for them to follow their spiritual and religious practices.",Livestock varieties are a part of culture,
SN 5,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,Some farmers said that they abandoned crop farming and grazing livestock in the lands due to increasing crop and livestock loss by wild animals.,"Human wildlife conflicts, loss of crops",
SN 5,Farmland,"Regulation of freshwater quantity, location and timing",WQN,6.4,Positive,"some farmers replied that crop intensification increased tillage activities and the duration of plant presence in the field, which might intercept water flow and contribute to flooding reduction
and water recharge","Agricultural crops reduce surface runoff, intercept rainwater and contribute to groundwater recharge",
SN 5,Farmland,Regulation of hazards and extreme events,HAZ,1.5,Positive,,Crops that intercept rainwater and reduce surface runoff thereby contributing to flood reduction,
SN 5,Farmland,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,,Crops that intercept rainwater and reduce surface runoff thereby contributing to flood reduction,
SN 5,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Negative,"Based on the findings of experimental studies intensification of tree vegetation
has hampered water conservation service.",Reduction in water due to evapotranspiration and decrease in groundwater recharge,
SN 5,Farmland,Physical and psychological experiences,EXP,8.9,Positive,"The mountain agricultural resources provide recreational attraction to the people who are least interested in costly, risky and longdistance activities such as national parks and water sports. Many respondents shared experiences of increasing visits of domestic tourists to their communities.",Promotion of sustainable tourism,
SN 5,Grassland,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,increase in the total vegetation cover in the watershed consequently decreases the runoff and vice versa,Vegetation can reduce runoff thereby leading to protection against floods,
SN 6,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"Furthermore, households collect more water from the Naula in the dry season indicating that the Naula is the alternative source to fulfill their water requirements in case of shortage","Naula, i.e. a spring  is used by villagers as source of drinking water specially in the dry season.",
SN 7,Forest,Energy,NRG,7.1,Positive,Ninety four percent of households listed fuelwood as an important provisioning service providing the main source of energy for cooking and heating.,,
SN 7,Freshwater,Supporting identities,IDE,NA,Positive,A similar number reported spiritual benefits as very important cultural services attached to a sacred pond.,,
SN 7,Forest,Food and feed,FOD,2.4,Positive,Fodder for livestock was reported by 88% and leaflitter used as bedding material for livestock and compost for agriculture were reported as valuable by 53%.,Useful for agricultural SDG,
SN 7,Forest,"Materials, companionship and labor",MAT,2.4,Positive,Fodder for livestock was reported by 88% and leaflitter used as bedding material for livestock and compost for agriculture were reported as valuable by 53%.,,
SN 7,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"Some households reported disservices, particularly crop damage associated with an increase of wildlife in the area","Ecosystem ""Disservices""",
SN 7,Forest,Food and feed,FOD,1.1,Positive,"The wild edibles were collected mostly for household use consumption, and very few wild edibles such as shisnu, ainselu, ferns and sometimes mushroomwere reported to be sold in the market.",Wild edibles were alternative sources of income for poor households,
SN 7,Forest,Food and feed,FOD,2.1,Positive,"The wild edibles were collected mostly for household use
consumption, and very few wild edibles such as shisnu, ainselu, ferns
and sometimes mushroom were reported to be sold in the market.",,
SN 7,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"The high-income groups were found to be investing in hotels, shops near by the holy pond, and other recreational activities",Ecotourism from spiritual and recreational value of nature in Maipokhari,
SN 9,Forest,Energy,NRG,7.1,Positive,"More than 80% of the households in the Chure region use firewood for cooking
Rich-distant users employ an energy mix such as liquefied petroleum gas (LPG) and bio-gas, however, most of the population regardless of their economic status rear cattle and firewood is necessary for cooking cattle feed In addition, all sub-groups use firewood for heating in winter.","which is why firewood is a top ES priority in the region
Also links to SDG 2",
SN 9,Forest,Food and feed,FOD,2.1,Positive,"the nearby users in CF live in the hills and rely solely on agriculture and animal husbandry for their livelihoods. About three quarters of these households raise cattle ranging in number from one to seven head and total demand for fodder and grasses is almost 21,256 bhari",Forest as the major source of fodder for their cattle,
SN 9,Forest,"Materials, companionship and labor",MAT,9,Positive,Purchasing timber and poles from the market is almost 10 times more expensive than obtaining these services from the CF,"For users distant from the CF, they prefer timber obtained from the CF rather than from market",
SN 9,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"both water quality and quantity are of serious ongoing concern for inhabitants of Chure and Tarai, mainly due to the influx of hill migrants and increased water use coupled with the fragile topography and the low water holding capacity of the landscape (referenced)",increase in population in the region as a possible explanation to why water quality and quantity are important ES,
SN 9,Forest,Regulation of freshwater and coastal water quality,WQL,6.3,Positive,,,
SN 9,Forest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,,,
SN 9,Forest,Habitat creation and maintenance,HAB,15.5,Positive,,,
SN 9,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"On average, 16 to 64 tonnes of soil are lost every year [72,73]. The Tarai/distant region, on the other hand, faces frequent flooding: in 2017 flooding caused severe losses in 18 Tarai districts worth US $584.7 million [74]. Due to experiencing recent flood damage, distant users might have been influenced to select FC services as the top priority.","Flooding and erosion in the terai region is very frequent. Therefore, distant users prioritized flood control as an important ES",
SN 9,Forest,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 9,Forest,Maintenance of options,OPT,15.1,Positive,"As the local users of the study area strongly believe in reincarnation and saving for future generations, forest users may have prioritised bequest services for their children and grandchildren",,
SN 9,Forest,Regulation of climate,CLI,13.2,Positive,"Surprisingly, they currently receive no benefit from CSS though still choose this as a high priority. However, they have heard about the Reducing Emissions from Deforestation and Forests Degradation (REDD+) pilot projects implemented in nearby districts (Chitwan, Dolakha, and Gorkha districts).
These projects have provided many financial benefits to the local users in accordance with their contribution to social and environmental safeguards. Although users in our research site have not received any carbon benefits so far, these initiatives in nearby districts may have created some awareness about them and users might have been more optimistic at the time of the study about the carbon benefits coming in the near future.","Although users in the Terai group do not receive any tangible benefits from carbon sequestration, they know about this ecosystem services due to REDD+ projects in nearby sites being implemented where users are receiving benefits. This is a good example of how development projects are educating locals about climate change and CO2 sequestration.",
SN 10,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,Many local people depend directly on the reserve for drinking and irrigation water and rely on the embankments for flood protection,,
SN 10,Freshwater,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,,,
